timestamp,x,y,z
1751946130.7296963,0.0,0.0,0.0
1751946130.827588,-2e-05,0.0,0.0
1751946130.9479237,0.03096,-0.00225,0.0
1751946131.0476956,0.07683,-0.00455,0.0
1751946131.147247,0.13279,-0.00716,0.0
1751946131.2471535,0.20602,-0.01008,0.0
1751946131.3491325,0.26994,-0.01409,0.0
1751946131.4471545,0.33616,-0.01791,0.0
1751946131.548095,0.39879,-0.0211,0.0
1751946131.6467154,0.42973,-0.0234,0.0
1751946131.7506747,0.47684,-0.02597,0.0
1751946131.8471365,0.50783,-0.02696,0.0
1751946131.9483433,0.52848,-0.02798,0.0
1751946132.047405,0.56204,-0.0312,0.0
1751946132.1484475,0.57219,-0.03109,0.0
1751946132.2474115,0.58329,-0.03153,0.0
1751946132.3476534,0.58274,-0.03555,0.0
1751946132.4468267,0.57159,-0.0347,0.0
1751946132.5504158,0.56413,-0.03488,0.0
1751946132.647807,0.5693,-0.03426,0.0
1751946132.7681258,0.57804,-0.03232,0.0
1751946132.8673718,0.57823,-0.03256,0.0
1751946132.9689364,0.57344,-0.03443,0.0
1751946133.0688355,0.57143,-0.03498,0.0
1751946133.1674035,0.57494,-0.03321,0.0
1751946133.267918,0.57789,-0.03116,0.0
1751946133.3678107,0.57753,-0.03075,0.0
1751946133.4676528,0.57597,-0.03231,0.0
1751946133.5670414,0.57591,-0.03262,0.0
1751946133.6678205,0.57888,-0.03161,0.0
1751946133.768988,0.5796,-0.03017,0.0
1751946133.8676174,0.57518,-0.02929,0.0
1751946133.9676743,0.57621,-0.02601,0.0
1751946134.067664,0.58715,0.00233,0.0
1751946134.1676354,0.59513,0.04561,0.0
1751946134.2670023,0.60075,0.10071,0.0
1751946134.3676572,0.60554,0.16869,0.0
1751946134.4686768,0.60813,0.2261,0.0
1751946134.5676022,0.61234,0.29366,0.0
1751946134.6677566,0.61354,0.3717,0.0
1751946134.7677443,0.61491,0.38991,0.0
1751946134.8673177,0.61845,0.44004,0.0
1751946134.9678314,0.61931,0.46926,0.0
1751946135.0679035,0.62158,0.49485,0.0
1751946135.1933386,0.62454,0.53287,0.0
1751946135.287803,0.62542,0.54194,0.0
1751946135.3893614,0.62733,0.55479,0.0
1751946135.4870896,0.62895,0.54638,0.0
1751946135.587507,0.63028,0.53526,0.0
1751946135.6909237,0.62851,0.53239,0.0
1751946135.7878191,0.62601,0.53972,0.0
1751946135.8890076,0.62704,0.54582,0.0
1751946135.9868453,0.62993,0.54488,0.0
1751946136.0880413,0.6302,0.53926,0.0
1751946136.1868632,0.62812,0.5378,0.0
1751946136.287987,0.62677,0.54142,0.0
1751946136.3869278,0.62717,0.54502,0.0
1751946136.5074937,0.62837,0.54539,0.0
1751946136.6073887,0.62898,0.5431,0.0
1751946136.7076037,0.62624,0.54003,0.0
1751946136.8074117,0.62414,0.54067,0.0
1751946136.9081864,0.62498,0.54255,0.0
1751946137.0091195,0.62477,0.54074,0.0
1751946137.1089313,0.61806,0.54431,0.0
1751946137.208615,0.58285,0.55302,0.0
1751946137.3104808,0.5366,0.55871,0.0
1751946137.4081056,0.47779,0.56452,0.0
1751946137.5080917,0.415,0.56905,0.0
1751946137.6091573,0.35935,0.57411,0.0
1751946137.7079673,0.29167,0.57966,0.0
1751946137.8085732,0.23858,0.58255,0.0
1751946137.9289,0.20236,0.58526,0.0
1751946138.0278141,0.15397,0.58952,0.0
1751946138.129241,0.12981,0.58962,0.0
1751946138.2302709,0.10482,0.59266,0.0
1751946138.3316932,0.0753,0.5939,0.0
1751946138.428278,0.06694,0.59393,0.0
1751946138.5282974,0.05014,0.59559,0.0
1751946138.6286592,0.05454,0.59845,0.0
1751946138.7290373,0.06977,0.5974,0.0
1751946138.8284614,0.0752,0.5956,0.0
1751946138.9291387,0.06703,0.5945,0.0
1751946139.0282748,0.0585,0.59441,0.0
1751946139.129206,0.05946,0.59521,0.0
1751946139.2281346,0.0646,0.59667,0.0
1751946139.329003,0.06516,0.59632,0.0
1751946139.4287713,0.06009,0.59467,0.0
1751946139.528366,0.05791,0.59268,0.0
1751946139.6286066,0.05962,0.59234,0.0
1751946139.7294717,0.06097,0.5939,0.0
1751946139.8683422,0.05958,0.59453,0.0
1751946139.968874,0.05739,0.59308,0.0
1751946140.0686736,0.05758,0.59272,0.0
1751946140.168662,0.0609,0.59252,0.0
1751946140.2696142,0.05416,0.5798,0.0
1751946140.3747363,0.04373,0.54157,0.0
1751946140.4687912,0.03563,0.49307,0.0
1751946140.568212,0.0264,0.42973,0.0
1751946140.6688461,0.01915,0.36266,0.0
1751946140.7687998,0.00882,0.26553,0.0
