timestamp,speed,angle,esc_timestamp,state
1751946135.2474477,"[23, -25, -23, 14]","[4179, 12378, 30821, 13738]","[164226, 164227, 164229, 164224]","[0, 0, 0, 0]"
1751946135.347519,"[41, -35, -39, 31]","[5808, 11187, 29682, 15017]","[164286, 164287, 164289, 164284]","[0, 0, 0, 0]"
1751946135.447388,"[-88, -43, -47, -81]","[4935, 9157, 27591, 14216]","[164346, 164347, 164349, 164344]","[0, 0, 0, 0]"
1751946135.5475264,"[-58, -17, -23, -53]","[2652, 7739, 26000, 12067]","[164406, 164407, 164409, 164404]","[0, 0, 0, 0]"
1751946135.6475062,"[-52, -21, -20, -47]","[32265, 6474, 24822, 8980]","[164466, 164467, 164469, 164464]","[0, 0, 0, 0]"
1751946135.7471623,"[-37, -53, -45, -19]","[29858, 4478, 23179, 6834]","[164526, 164527, 164529, 164524]","[0, 0, 0, 0]"
1751946135.8472636,"[-28, -43, -64, -31]","[28263, 1754, 20316, 5305]","[164586, 164587, 164589, 164584]","[0, 0, 0, 0]"
1751946135.94757,"[-28, -28, -34, -54]","[26791, 32328, 17504, 3306]","[164646, 164647, 164649, 164644]","[0, 0, 0, 0]"
1751946136.0469267,"[-51, -36, -32, -43]","[24560, 30542, 15448, 794]","[164706, 164707, 164709, 164704]","[0, 0, 0, 0]"
1751946136.1475477,"[-61, -37, -25, -35]","[21707, 28556, 13987, 31173]","[164766, 164767, 164769, 164764]","[0, 0, 0, 0]"
1751946136.248263,"[-42, -41, -49, -30]","[19368, 26182, 11944, 29225]","[164826, 164827, 164829, 164824]","[0, 0, 0, 0]"
1751946136.3480618,"[-33, -39, -50, -46]","[17607, 23960, 9299, 27074]","[164886, 164887, 164889, 164884]","[0, 0, 0, 0]"
1751946136.4474912,"[-40, -32, -37, -47]","[15878, 21897, 6824, 24788]","[164946, 164947, 164949, 164944]","[0, 0, 0, 0]"
1751946136.5674977,"[-47, -33, -30, -45]","[13648, 19865, 4591, 22364]","[165006, 165007, 165009, 165004]","[0, 0, 0, 0]"
1751946136.668136,"[-55, -50, -29, -41]","[11097, 17693, 2765, 20141]","[165066, 165067, 165069, 165064]","[0, 0, 0, 0]"
1751946136.7674634,"[-45, -41, -42, -29]","[8742, 15007, 742, 18427]","[165126, 165127, 165129, 165124]","[0, 0, 0, 0]"
1751946136.8676057,"[-33, -39, -42, -45]","[6721, 12870, 31203, 16289]","[165186, 165187, 165189, 165184]","[0, 0, 0, 0]"
1751946136.968547,"[-11, -9, -11, -20]","[5031, 11384, 29284, 14183]","[165246, 165247, 165249, 165244]","[0, 0, 0, 0]"
1751946137.0691328,"[2, 1, 4, 0]","[4793, 11398, 29107, 13715]","[165306, 165307, 165309, 165304]","[0, 0, 0, 0]"
1751946137.168345,"[111, -44, -47, 27]","[7856, 10486, 28052, 14221]","[165366, 165367, 165369, 165364]","[0, 0, 0, 0]"
1751946137.2686608,"[78, -79, -72, 84]","[11772, 7468, 24451, 17942]","[165426, 165427, 165429, 165424]","[0, 0, 0, 0]"
1751946137.3687541,"[87, -108, -82, 107]","[16466, 2829, 19676, 22928]","[165486, 165487, 165489, 165484]","[0, 0, 0, 0]"
1751946137.4684346,"[118, -124, -139, 116]","[22557, 29365, 13525, 29233]","[165546, 165547, 165549, 165544]","[0, 0, 0, 0]"
1751946137.5683932,"[121, -113, -107, 102]","[28682, 22873, 7151, 3144]","[165606, 165607, 165609, 165604]","[0, 0, 0, 0]"
1751946137.669592,"[108, -139, -105, 92]","[1968, 16649, 910, 9199]","[165666, 165667, 165669, 165664]","[0, 0, 0, 0]"
1751946137.7688327,"[148, -127, -95, 135]","[8771, 9370, 26715, 16681]","[165726, 165727, 165729, 165724]","[0, 0, 0, 0]"
1751946137.868505,"[91, -81, -66, 79]","[13548, 4165, 22077, 22163]","[165786, 165787, 165789, 165784]","[0, 0, 0, 0]"
