timestamp,static_flag,up_hill,down_hill,on_slope,pick_up,slip_flag,impact_x,impact_y,impact_z,roll_over,hill_static
1751946130.80744,0,0,0,0,0,0,0,0,0,0,0
1751946130.9129262,0,0,0,0,0,0,0,0,0,0,0
1751946131.0277038,0,0,0,0,0,0,0,0,0,0,0
1751946131.1278327,0,0,0,0,0,0,0,0,0,0,0
1751946131.2273002,0,0,0,0,0,0,0,0,0,0,0
1751946131.3272479,0,0,0,0,0,0,0,0,0,0,0
1751946131.431092,0,0,0,0,0,0,0,0,0,0,0
1751946131.5280337,0,0,0,0,0,0,0,0,0,0,0
1751946131.631409,0,0,0,0,0,0,0,0,0,0,0
1751946131.7275274,0,0,0,0,0,0,0,0,0,0,0
1751946131.8285515,0,0,0,0,0,0,0,0,0,0,0
1751946131.9269018,0,0,0,0,0,0,0,0,0,0,0
1751946132.0267823,0,0,0,0,0,0,0,0,0,0,0
1751946132.1278784,0,0,0,0,0,0,0,0,0,0,0
1751946132.2294164,0,0,0,0,0,0,0,0,0,0,0
1751946132.327549,0,0,0,0,0,0,0,0,0,0,0
1751946132.4276824,0,0,0,0,0,0,0,0,0,0,0
1751946132.5271993,0,0,0,0,0,0,0,0,0,0,0
1751946132.6278448,0,0,0,0,0,0,0,0,0,0,0
1751946132.7470927,0,0,0,0,0,0,0,0,0,0,0
1751946132.8471448,0,0,0,0,0,0,0,0,0,0,0
1751946132.9492044,0,0,0,0,0,0,0,0,0,0,0
1751946133.0469773,0,0,0,0,0,0,0,0,0,0,0
1751946133.148117,0,0,0,0,0,0,0,0,0,0,0
1751946133.24677,0,0,0,0,0,0,0,0,0,0,0
1751946133.3470526,0,0,0,0,0,0,0,0,0,0,0
1751946133.4475868,0,0,0,0,0,0,0,0,0,0,0
1751946133.5472956,0,0,0,0,0,0,0,0,0,0,0
1751946133.6476445,0,0,0,0,0,0,0,0,0,0,0
1751946133.7476017,0,0,0,0,0,0,0,0,0,0,0
1751946133.8469272,0,0,0,0,0,0,0,0,0,0,0
1751946133.9469988,0,0,0,0,0,0,0,0,0,0,0
1751946134.0474784,0,0,0,0,0,0,0,0,0,0,0
1751946134.1477573,0,0,0,0,0,0,0,0,0,0,0
1751946134.246921,0,0,0,0,0,0,0,0,0,0,0
1751946134.3470967,0,0,0,0,0,0,0,0,0,0,0
1751946134.4472075,0,0,0,0,0,0,0,0,0,0,0
1751946134.5471263,0,0,0,0,0,0,0,0,0,0,0
1751946134.6481218,0,0,0,0,0,0,0,0,0,0,0
1751946134.7469919,0,0,0,0,0,0,0,0,0,0,0
1751946134.8469803,0,0,0,0,0,0,0,0,0,0,0
1751946134.9480946,0,0,0,0,0,0,0,0,0,0,0
1751946135.047681,0,0,0,0,0,0,0,0,0,0,0
1751946135.1673043,0,0,0,0,0,0,0,0,0,0,0
1751946135.2684247,0,0,0,0,0,0,0,0,0,0,0
1751946135.3675053,0,0,0,0,0,0,0,0,0,0,0
1751946135.4678245,0,0,0,0,0,0,0,0,0,0,0
1751946135.581687,0,0,0,0,0,0,0,0,0,0,0
1751946135.6677155,0,0,0,0,0,0,0,0,0,0,0
1751946135.7670703,0,0,0,0,0,0,0,0,0,0,0
1751946135.867269,0,0,0,0,0,0,0,0,0,0,0
1751946135.9681861,0,0,0,0,0,0,0,0,0,0,0
1751946136.0668414,0,0,0,0,0,0,0,0,0,0,0
1751946136.1669595,0,0,0,0,0,0,0,0,0,0,0
1751946136.2677426,0,0,0,0,0,0,0,0,0,0,0
1751946136.3679044,0,0,0,0,0,0,0,0,0,0,0
1751946136.4869995,0,0,0,0,0,0,0,0,0,0,0
1751946136.5869083,0,0,0,0,0,0,0,0,0,0,0
1751946136.6867948,0,0,0,0,0,0,0,0,0,0,0
