timestamp,x,y,z,speed
1754633836.036403,0.0,0.0,0.0,0.0
1754633836.1280668,0.01085,0.00383,0.0,0.12552546899532024
1754633836.228797,0.06166,0.02887,0.0,0.5623440201211586
1754633836.336614,0.14252,0.06904,0.0,0.8374218078846982
1754633836.4316053,0.23295,0.11628,0.0,1.0740493386766952
1754633836.5358775,0.31202,0.15595,0.0,0.8483897485309876
1754633836.655519,0.37316,0.18666,0.0,0.5718692786035813
1754633836.7561731,0.43423,0.21717,0.0,0.678235083462948
1754633836.8577588,0.50705,0.25351,0.0,0.8011365083287937
1754633836.9577658,0.58503,0.29197,0.0,0.8694242381304338
1754633837.0581264,0.65748,0.32793,0.0,0.8059275495501613
1754633837.1542995,0.72489,0.36133,0.0,0.7822437491314794
1754633837.2590022,0.79395,0.39577,0.0,0.7370508290506631
1754633837.3573346,0.86727,0.43261,0.0,0.8344645732007143
1754633837.4583611,0.94009,0.46922,0.0,0.8067669950256832
1754633837.5537407,1.011,0.50464,0.0,0.8310388315474627
1754633837.6522279,1.07503,0.53644,0.0,0.7259001014423646
1754633837.7510514,1.12162,0.55953,0.0,0.5261686047480918
1754633837.8499079,1.15068,0.57355,0.0,0.3263845075436931
1754633837.9502144,1.16087,0.57904,0.0,0.11539439211811689
1754633838.0580626,1.16224,0.5792,0.0,0.012789382104648599
1754633838.1569734,1.16759,0.58152,0.0,0.05895586272063987
1754633838.2668903,1.17834,0.58705,0.0,0.10998286573373685
1754633838.372448,1.19203,0.59429,0.0,0.14671187474221656
1754633838.473209,1.19229,0.59486,0.0,0.0062176695115695475
1754633838.5772252,1.18933,0.59654,0.0,0.032721097081684386
1754633838.6766028,1.17688,0.62981,0.0,0.35745636440696776
1754633838.7734473,1.14797,0.70526,0.0,0.8343182105220499
1754633838.8733654,1.10605,0.7913,0.0,0.957871903675741
1754633838.9758792,1.06464,0.87248,0.0,0.888969821727256
1754633839.076171,1.02994,0.94689,0.0,0.8186439398063228
1754633839.1681042,0.9986,1.01548,0.0,0.8202773873678892
1754633839.2673874,0.96492,1.08363,0.0,0.765670061796307
1754633839.3677251,0.92816,1.15528,0.0,0.8025855424190624
1754633839.4711788,0.89177,1.22935,0.0,0.797713297521657
1754633839.5682309,0.85608,1.30223,0.0,0.8361455532177121
1754633839.672047,0.8217,1.37235,0.0,0.7522422565455126
1754633839.7779927,0.78746,1.44355,0.0,0.7457129536153466
1754633839.8731716,0.75284,1.51672,0.0,0.8504710986549037
1754633839.97381,0.71905,1.58613,0.0,0.7670817988076687
1754633840.0686684,0.69122,1.64326,0.0,0.6699245924052315
1754633840.1933906,0.67129,1.68467,0.0,0.36847016334369537
1754633840.2974281,0.65835,1.71238,0.0,0.2939561879014465
1754633840.3975654,0.65008,1.7315,0.0,0.20803332625914828
1754633840.498028,0.64439,1.74596,0.0,0.15467665959592108
1754633840.5997233,0.63784,1.7588,0.0,0.14173873615053742
1754633840.6956134,0.63182,1.77083,0.0,0.14028761455605104
1754633840.7960486,0.62758,1.78022,0.0,0.1025824791285084
1754633840.8898985,0.6254,1.78474,0.0,0.053470987668805606
1754633840.9904146,0.62445,1.78745,0.0,0.02856945250731597
1754633841.0946498,0.61548,1.78633,0.0,0.08672362068334608
1754633841.1932516,0.57016,1.76552,0.0,0.5057656688577253
1754633841.29348,0.48785,1.72743,0.0,0.9048951279451951
1754633841.3972912,0.39485,1.68147,0.0,0.9992826015906289
1754633841.497375,0.31433,1.64246,0.0,0.8939712567512499
1754633841.5976822,0.25024,1.61112,0.0,0.7112378861481806
1754633841.6980956,0.18793,1.58067,0.0,0.6906681035022096
1754633841.7986693,0.115,1.54501,0.0,0.8071826114303992
1754633841.8976474,0.03506,1.50639,0.0,0.8969677319409414
1754633841.9888492,-0.04118,1.47032,0.0,0.9247851793312456
1754633842.1178362,-0.11044,1.43726,0.0,0.5949879671390054
1754633842.212953,-0.17868,1.40387,0.0,0.7987120721641573
1754633842.3143687,-0.25253,1.36866,0.0,0.8067219686279563
1754633842.4119563,-0.36578,1.31427,0.0,1.287394614356065
1754633842.5180807,-0.43547,1.28074,0.0,0.728735770500916
1754633842.618239,-0.48846,1.25647,0.0,0.581914894435596
1754633842.705283,-0.50755,1.24701,0.0,0.24476576424956217
1754633842.8114982,-0.50632,1.24719,0.0,0.011703602778927935
1754633842.9345012,-0.50448,1.24883,0.0,0.02003847028626644
1754633843.034844,-0.51785,1.24308,0.0,0.1450430304934561
1754633843.1377647,-0.54181,1.23167,0.0,0.2578496062595635
1754633843.2300708,-0.55728,1.22452,0.0,0.18462911138868437
1754633843.3295746,-0.55729,1.22423,0.0,0.0029161950813857166
1754633843.4373686,-0.55319,1.2257,0.0,0.04040631009702087
1754633843.53803,-0.55539,1.22512,0.0,0.02260223964641692
1754633843.6378644,-0.5629,1.22224,0.0,0.08056627508409175
1754633843.7376673,-0.56942,1.21948,0.0,0.07094090416927215
1754633843.8364131,-0.57055,1.2187,0.0,0.013905016238350332
1754633843.926781,-0.56883,1.21928,0.0,0.020086341761887425
1754633844.0281794,-0.55963,1.20347,0.0,0.18039688903005258
1754633844.1271255,-0.52505,1.14666,0.0,0.67215169730033
1754633844.2246172,-0.48338,1.06411,0.0,0.9485011646980333
1754633844.339597,-0.44593,0.97823,0.0,0.814841999547182
1754633844.437668,-0.40766,0.90098,0.0,0.8790556138546635
1754633844.5338647,-0.37268,0.83341,0.0,0.7909577242282202
1754633844.6342611,-0.33934,0.76469,0.0,0.7607901333950693
1754633844.7353203,-0.30662,0.69215,0.0,0.7874389514569949
1754633844.838018,-0.27315,0.61854,0.0,0.7873801628719385
1754633844.9367945,-0.23856,0.54665,0.0,0.8076681338519284
1754633845.0366666,-0.2046,0.47474,0.0,0.7962748813499609
1754633845.1376286,-0.17085,0.40374,0.0,0.7786437771951267
1754633845.2370212,-0.13745,0.33226,0.0,0.7938047015420743
1754633845.3580365,-0.10334,0.26049,0.0,0.6566388678100851
1754633845.4587486,-0.07081,0.19099,0.0,0.7619369686989976
1754633845.5571842,-0.04303,0.13022,0.0,0.6788046463268137
1754633845.6558194,-0.02291,0.08778,0.0,0.47617620467390237
1754633845.7541513,-0.00975,0.06308,0.0,0.2846182495698765
1754633845.8522723,-0.00142,0.04806,0.0,0.17504168507855136
1754633845.958987,0.0004,0.04136,0.0,0.06505938889060123
