timestamp,x,y,z,speed
1754634756.9271412,0.0,0.0,0.0,0.5
1754634757.0347385,0.00702,-0.00022,0.0,0.5
1754634757.1335132,0.05489,-0.00106,0.0,0.5
1754634757.2305808,0.12409,-0.00422,0.0,0.5
1754634757.3237193,0.18905,-0.00597,0.0,0.5
1754634757.4349523,0.23479,-0.00666,0.0,0.5
1754634757.532127,0.27243,-0.00712,0.0,0.5
1754634757.627461,0.31874,-0.00836,0.0,0.5
1754634757.7314453,0.37512,-0.00937,0.0,0.5
1754634757.8334785,0.43026,-0.01026,0.0,0.5
1754634757.9219904,0.47745,-0.01148,0.0,0.5
1754634758.0562735,0.54629,-0.01251,0.0,0.5
1754634758.1562111,0.59821,-0.01351,0.0,0.5
1754634758.2880597,0.65047,-0.01443,0.0,0.5
1754634758.3575134,0.69962,-0.01568,0.0,0.5
1754634758.449607,0.74683,-0.017,0.0,0.5
1754634758.5501754,0.79599,-0.01808,0.0,0.5
1754634758.6593423,0.84726,-0.01943,0.0,0.5
1754634758.7559838,0.89819,-0.02076,0.0,0.5
1754634758.8555002,0.94797,-0.0216,0.0,0.5
1754634758.9550998,0.99728,-0.02278,0.0,0.5
1754634759.055833,1.04698,-0.0237,0.0,0.5
1754634759.1712537,1.09808,-0.02562,0.0,0.5
1754634759.2716317,1.14854,-0.02699,0.0,0.5
1754634759.3747525,1.19865,-0.0277,0.0,0.5
1754634759.4756188,1.24862,-0.02887,0.0,0.5
1754634759.5773826,1.29321,-0.02608,0.0,0.5
1754634759.6695542,1.31291,0.00235,0.0,0.5
1754634759.7739034,1.31102,0.05678,0.0,0.5
1754634759.8728848,1.30099,0.11898,0.0,0.5
1754634759.9751034,1.29804,0.17456,0.0,0.5
1754634760.0750098,1.30348,0.22159,0.0,0.5
1754634760.1773248,1.30876,0.26702,0.0,0.5
1754634760.2840986,1.30967,0.31634,0.0,0.5
1754634760.3752987,1.30894,0.36801,0.0,0.5
1754634760.4963374,1.30948,0.41877,0.0,0.5
1754634760.5947638,1.312,0.46679,0.0,0.5
1754634760.692415,1.31551,0.53981,0.0,0.5
1754634760.7923782,1.3161,0.59192,0.0,0.5
1754634760.8949442,1.31719,0.6432,0.0,0.5
1754634760.9860117,1.31786,0.69288,0.0,0.5
1754634761.1078131,1.31925,0.74196,0.0,0.5
1754634761.2193568,1.32164,0.79072,0.0,0.5
1754634761.3102767,1.32324,0.84083,0.0,0.5
