timestamp,x,y,z,speed
1754633421.7525833,0.0,0.0,0.0,0.0
1754633421.8553495,0.00741,0.00302,0.0,0.07786388112381451
1754633421.9466789,0.05369,0.02693,0.0,0.5703700761417385
1754633422.062474,0.13435,0.05834,0.0,0.747526590317553
1754633422.1599095,0.22617,0.10058,0.0,1.0373011155892768
1754633422.2647424,0.30766,0.13936,0.0,0.8608646839666626
1754633422.3628707,0.37307,0.16924,0.0,0.7328325878378539
1754633422.4658265,0.43435,0.19651,0.0,0.6514811522278812
1754633422.5619466,0.50612,0.22873,0.0,0.8184611921197239
1754633422.6622956,0.58563,0.266,0.0,0.8750633769698036
1754633422.781709,0.66123,0.30104,0.0,0.6977914770008589
1754633422.8811388,0.72929,0.33252,0.0,0.7541768943986445
1754633422.980793,0.79672,0.36365,0.0,0.7452669779903472
1754633423.0705512,0.86935,0.39696,0.0,0.8902160076493852
1754633423.1698325,0.94524,0.43227,0.0,0.8430829309872038
1754633423.8313634,1.14353,0.52467,0.0,0.33069004418049525
1754633424.1081583,1.41213,0.64806,0.0,1.0678879412953293
1754633424.3964214,1.46127,0.67072,0.0,0.1877208313754692
1754633424.403559,1.50359,0.69532,0.0,6.858165154093906
1754633424.6965885,1.49541,0.69287,0.0,0.029140481863795906
1754633424.960811,1.36162,0.63111,0.0,0.5577003638574963
1754633425.2397254,1.14648,0.53324,0.0,0.8474109094455973
1754633425.5364945,1.02228,0.4759,0.0,0.460955446115791
1754633425.800858,0.98672,0.46008,0.0,0.14722247125216426
1754633425.900434,1.01301,0.47109,0.0,0.28623719891827676
1754633425.9999623,1.05035,0.48819,0.0,0.4126391470763033
1754633426.1005838,1.09471,0.50841,0.0,0.48449881935878764
1754633426.2212043,1.12919,0.52485,0.0,0.316685363435021
1754633426.3224869,1.14705,0.53362,0.0,0.19645080388865885
1754633426.4211845,1.15393,0.53692,0.0,0.07731177500270425
1754633426.5210052,1.16234,0.5412,0.0,0.09453403400660979
1754633426.6092145,1.1758,0.54739,0.0,0.16795396920651903
1754633426.7201023,1.18669,0.55233,0.0,0.1078394974805786
1754633426.8171763,1.19311,0.55537,0.0,0.07317486812390231
1754633426.9414854,1.19503,0.55652,0.0,0.018003974448370534
1754633427.0442045,1.18878,0.57061,0.0,0.15005952059632416
1754633427.133967,1.17115,0.62761,0.0,0.6646899861618225
1754633427.232309,1.13834,0.71182,0.0,0.9189952191642671
1754633427.3282652,1.09747,0.79921,0.0,1.0054047578733423
1754633427.449291,1.05987,0.87636,0.0,0.7091439935336165
1754633427.5408168,1.02916,0.94708,0.0,0.8423863751703218
1754633427.6403916,0.99898,1.01609,0.0,0.7564235893101763
1754633427.7418468,0.96586,1.08771,0.0,0.7777548190034119
1754633427.8443658,0.9315,1.16125,0.0,0.7917657543019946
1754633427.933341,0.89909,1.2353,0.0,0.9084778457939704
1754633428.0327222,0.86642,1.30836,0.0,0.8053013549404394
1754633428.1550112,0.83349,1.38015,0.0,0.6458654834000261
1754633428.2552805,0.80086,1.45168,0.0,0.7840980414884813
1754633428.3558109,0.76924,1.52231,0.0,0.7697661746407125
1754633428.4561195,0.74174,1.58346,0.0,0.6684271605064787
